Symbol,Datetime,Open,High,Low,Close,Volume,fetched_at_utc
MSFT,2025-07-03 00:00:00,493.81,500.13,493.44,498.84,13984829,2025-11-22 20:31:50.817349
GOOGL,2025-11-21 00:00:00,296.415,303.92,293.845,299.66,74137697,2025-11-22 20:32:03.907028
GOOGL,2025-11-20 00:00:00,304.54,306.42,288.67,289.45,62025218,2025-11-22 20:32:03.908874
GOOGL,2025-11-19 00:00:00,287.16,303.81,286.63,292.81,68198944,2025-11-22 20:32:03.911621
GOOGL,2025-11-18 00:00:00,287.915,288.8,278.2,284.28,49158743,2025-11-22 20:32:03.913246
GOOGL,2025-11-17 00:00:00,285.775,293.95,283.57,285.02,52670192,2025-11-22 20:32:03.913850
GOOGL,2025-11-14 00:00:00,271.405,278.56,270.7,276.41,31647227,2025-11-22 20:32:03.914349
GOOGL,2025-11-13 00:00:00,282.34,282.84,277.24,278.57,29494040,2025-11-22 20:32:03.914846
GOOGL,2025-11-12 00:00:00,291.675,292.005,283.69,286.71,24829923,2025-11-22 20:32:03.915360
GOOGL,2025-11-11 00:00:00,287.745,291.915,287.32,291.31,19842136,2025-11-22 20:32:03.915829
GOOGL,2025-11-10 00:00:00,284.42,290.8,282.855,290.1,29557309,2025-11-22 20:32:03.916256
GOOGL,2025-11-07 00:00:00,283.205,283.78,275.19,278.83,34479588,2025-11-22 20:32:03.916830
GOOGL,2025-11-06 00:00:00,285.33,288.35,281.14,284.75,37173648,2025-11-22 20:32:03.917647
GOOGL,2025-11-05 00:00:00,278.87,286.415,277.34,284.31,30283252,2025-11-22 20:32:03.918185
GOOGL,2025-11-04 00:00:00,276.75,281.27,276.26,277.54,30078369,2025-11-22 20:32:03.918729
GOOGL,2025-11-03 00:00:00,282.175,285.53,279.8,283.72,29785996,2025-11-22 20:32:03.919293
GOOGL,2025-10-31 00:00:00,283.21,286.0,277.03,281.19,39267945,2025-11-22 20:32:03.919750
GOOGL,2025-10-30 00:00:00,291.59,291.59,280.06,281.48,74875990,2025-11-22 20:32:03.920215
GOOGL,2025-10-29 00:00:00,267.75,275.336,267.67,274.57,43580277,2025-11-22 20:32:03.920673
GOOGL,2025-10-28 00:00:00,269.69,270.73,266.5,267.47,29738564,2025-11-22 20:32:03.921349
GOOGL,2025-10-27 00:00:00,264.815,270.14,264.28,269.27,35235231,2025-11-22 20:32:03.922248
GOOGL,2025-10-24 00:00:00,256.58,261.68,255.315,259.92,28655126,2025-11-22 20:32:03.923207
GOOGL,2025-10-23 00:00:00,252.98,255.04,251.85,253.08,19901425,2025-11-22 20:32:03.924093
